区县,2022-05-12,2022-05-13,2022-05-14,2022-05-15,2022-05-16,2022-05-17,2022-05-18
奉贤,0,0,0,0,0,0,0
崇明,0,1,0,0,0,0,0
青浦,0,0,0,0,0,0,0
嘉定,0,0,0,0,0,0,0
金山,0,0,0,0,0,0,0
普陀,0,0,0,0,0,0,0
松江,0,0,0,0,0,0,0
长宁,0,0,0,0,0,0,0
徐汇,0,0,0,0,0,0,0
宝山,0,0,0,0,0,0,0
闵行,0,0,0,0,0,0,0
静安,0,0,0,0,0,0,0
黄浦,0,0,0,0,0,0,0
虹口,0,0,0,0,0,0,0
浦东,4,0,0,0,0,0,0
杨浦,0,0,0,0,0,0,0
